T_5 (K)	P_5 (atm)	phi (-)	x_iC8H18 (-)	x_O2 (-)	x_N2 (-)	x_He (-)	S_L (cm/s)	L_b (cm)
502.1511	1.0273	0.8985	0.0148	0.2059	0.7793	0	61.1701	0.0829
549.277	1.0151	0.8985	0.0148	0.2059	0.7793	0	103.8208	0.1067
413.8912	1.1284	0.8878	0.0149	0.2098	0.7753	0	34.0035	0.1005
404.2688	1.0431	0.8878	0.0149	0.2098	0.7753	0	40.5111	0.0486
528.7164	1.0415	0.8878	0.0149	0.2098	0.7753	0	74.7077	0.07
428.7474	1.0209	0.8886	0.0149	0.2098	0.7753	0	51.0355	0.0809
474.9602	0.9923	0.8886	0.0149	0.2098	0.7753	0	63.4858	0.0955
563.8699	0.9376	0.8886	0.0149	0.2098	0.7753	0	132.2722	0.119
