τ (%)	P (bar)	T (K)	φ	SL0 (cm/s)	Lb(mm)
0	10	473	0.799	29.200	0.293
0	10	473	0.901	33.700	0.218
0	10	473	1.000	37.622	0.117
0	10	473	1.051	38.451	0.209
0	10	473	1.103	37.951	0.172
5	1	373	1.102	38.138	0.742
5	1	423	0.811	36.967	1.220
5	1	423	0.907	43.197	0.996
5	1	423	1.010	47.213	0.861
5	1	423	1.058	48.107	0.781
5	1	423	1.107	47.786	0.677
5	1	423	1.155	46.240	0.571
5	1	423	1.203	44.070	0.469
5	1	423	1.299	38.688	0.118
5	2	373	1.098	32.815	0.434
5	2	423	1.102	40.585	0.343
5	3	373	1.098	29.056	0.235
5	3	423	1.101	36.292	0.156
5	5	373	1.098	25.144	0.194
5	5	423	1.101	31.384	0.083
5	10	373	1.100	20.427	0.241
5	10	423	1.100	25.891	0.109
10	1	373	1.117	33.121	0.823
10	1	423	0.859	31.329	1.108
10	1	423	0.909	35.006	1.105
10	1	423	1.010	39.411	0.970
10	1	423	1.061	40.830	0.848
10	1	423	1.111	40.709	0.722
10	1	423	1.162	39.733	0.588
10	1	423	1.212	37.238	0.431
10	1	423	1.321	31.638	-0.161
10	2	373	1.093	28.111	0.502
10	2	423	1.089	35.304	0.454
10	3	373	1.099	24.614	0.283
10	3	423	1.095	31.280	0.238
10	5	373	1.107	21.562	0.252
10	5	423	1.101	26.716	0.128
10	10	373	1.100	18.140	0.452
10	10	423	1.095	21.062	0.294
15	1	373	1.092	28.131	1.043
15	1	423	0.966	32.053	1.201
15	1	423	1.019	33.908	1.087
15	1	423	1.073	35.389	0.966
15	1	423	1.132	35.073	0.841
15	1	423	1.180	33.832	0.624
15	1	423	1.245	30.915	0.366
15	1	423	1.303	28.154	-0.021
15	2	373	1.109	23.211	0.557
15	2	423	0.990	27.943	0.731
15	2	423	1.046	29.327	0.604
15	2	423	1.101	29.322	0.485
15	2	423	1.153	28.543	0.341
15	2	423	1.207	26.241	0.064
15	3	373	1.103	20.083	0.322
15	3	423	1.106	25.707	0.199
15	5	373	1.103	17.688	0.316
15	5	423	1.101	22.058	0.119
15	10	373	1.104	14.012	0.563
15	10	423	1.108	17.327	0.072
20	1	423	1.087	30.289	1.110
20	1	423	1.144	29.853	0.972
20	1	423	1.201	28.061	0.679
20	1	423	1.258	25.611	0.343
20	1	423	1.315	22.293	0.007
20	2	373	1.105	19.040	0.671
20	2	423	1.110	24.272	0.526
20	3	373	1.103	16.242	0.360
20	3	423	1.100	21.774	0.348
20	5	373	1.102	14.160	0.391
20	5	423	1.104	17.561	-0.317
20	10	373	1.101	10.786	0.531
20	10	423	1.102	13.204	0.558
25	1	423	1.167	23.555	1.201
25	1	423	1.225	21.940	0.627
25	1	423	1.286	18.894	0.145
